#
#
#   Plasma Parameters
#    electron and ion temp [keV]:   0.2000D+00   0.2000D+00
#    number density nb   [cm^-3]:   0.1000D+25   0.1000D+25
#    mass array mb         [amu]:   0.5486D-03   0.1007D+01
#    mass array mb         [keV]:   0.5110D+03   0.9383D+06
#    charge array zb            :  -0.1000D+01   0.1000D+01
#
#
#   Projectile Parameters
#    charge      :   0.1000D+01
#    mass   [amu]:   0.1007D+01
#    mass   [keV]:   0.9383D+06
#    energy [keV]:   0.1200D+05
#  ne[cm^-3]    Te[keV]    Ti[keV]        ge       gi          etae         ze/2**1.5
#  0.1000D+25  0.2000D+00  0.2000D+00  0.6849D-01  0.6849D-01  0.3689D+00  0.2070D-01
# ab  =  0.3268E+02  0.6000E+05
# etab=  0.4561E-01  0.4561E-01
#    j    E_p [keV]       dedx_tot [MeV/mu-m]   dedx_i                dedx_e
   200   0.34285714E+03   0.6492501448676E-01   0.3389391332021E-03   0.6458607535356E-01
   201   0.34457143E+03   0.6506592084178E-01   0.3373618434423E-03   0.6472855899834E-01
   202   0.34628571E+03   0.6520646106231E-01   0.3357996200917E-03   0.6487066144222E-01
   203   0.34800000E+03   0.6534650224049E-01   0.3342521945515E-03   0.6501225004594E-01
   204   0.34971429E+03   0.6548593065985E-01   0.3327193037783E-03   0.6515321135607E-01
   205   0.35142857E+03   0.6562463817154E-01   0.3312008765531E-03   0.6529343729499E-01
   206   0.35314286E+03   0.6576252332607E-01   0.3296965413429E-03   0.6543282678473E-01
   207   0.35485714E+03   0.6589949085195E-01   0.3282062288724E-03   0.6557128462308E-01
   208   0.35657143E+03   0.6603545137685E-01   0.3267296524377E-03   0.6570872172441E-01
   209   0.35828571E+03   0.6617032203819E-01   0.3252667161743E-03   0.6584505532202E-01
   210   0.36000000E+03   0.6630402489529E-01   0.3238171301624E-03   0.6598020776512E-01
   211   0.36171429E+03   0.6643648880386E-01   0.3223808406817E-03   0.6611410796317E-01
   212   0.36342857E+03   0.6656763463197E-01   0.3209575035252E-03   0.6624667712844E-01
   213   0.36514286E+03   0.6669742653045E-01   0.3195470733505E-03   0.6637787945710E-01
   214   0.36685714E+03   0.6682579534128E-01   0.3181493235143E-03   0.6650764601776E-01
   215   0.36857143E+03   0.6695269010531E-01   0.3167640312575E-03   0.6663592607405E-01
   216   0.37028571E+03   0.6707806449994E-01   0.3153910803827E-03   0.6676267341955E-01
   217   0.37200000E+03   0.6720187602850E-01   0.3140303828629E-03   0.6688784564563E-01
   218   0.37371429E+03   0.6732408716499E-01   0.3126816171305E-03   0.6701140554786E-01
   219   0.37542857E+03   0.6744466256523E-01   0.3113447533765E-03   0.6713331781185E-01
   220   0.37714286E+03   0.6756357263876E-01   0.3100195841253E-03   0.6725355305463E-01
   221   0.37885714E+03   0.6768079002464E-01   0.3087059050210E-03   0.6737208411962E-01
   222   0.38057143E+03   0.6779629208792E-01   0.3074036161454E-03   0.6748888847177E-01
   223   0.38228571E+03   0.6791005732608E-01   0.3061126453581E-03   0.6760394468072E-01
   224   0.38400000E+03   0.6802206919910E-01   0.3048326896419E-03   0.6771723650946E-01
   225   0.38571429E+03   0.6813231239051E-01   0.3035637294729E-03   0.6782874866103E-01
   226   0.38742857E+03   0.6824077539656E-01   0.3023055822605E-03   0.6793846981430E-01
   227   0.38914286E+03   0.6834744898940E-01   0.3010580551033E-03   0.6804639093430E-01
   228   0.39085714E+03   0.6845232512052E-01   0.2998210627436E-03   0.6815250405777E-01
   229   0.39257143E+03   0.6855539946371E-01   0.2985945476070E-03   0.6825680491611E-01
   230   0.39428571E+03   0.6865666947624E-01   0.2973782216043E-03   0.6835929125464E-01
   231   0.39600000E+03   0.6875613366741E-01   0.2961720833841E-03   0.6845996158403E-01
   232   0.39771429E+03   0.6885377263476E-01   0.2949759064394E-03   0.6855879672832E-01
   233   0.39942857E+03   0.6894962995951E-01   0.2937896633894E-03   0.6865584029612E-01
   234   0.40114286E+03   0.6904368883301E-01   0.2926131343262E-03   0.6875107569869E-01
   235   0.40285714E+03   0.6913595563315E-01   0.2914463245230E-03   0.6884450930862E-01
   236   0.40457143E+03   0.6922643691498E-01   0.2902889575544E-03   0.6893614795743E-01
   237   0.40628571E+03   0.6931514161503E-01   0.2891409922031E-03   0.6902600062283E-01
   238   0.40800000E+03   0.6940207880529E-01   0.2880023687537E-03   0.6911407643654E-01
   239   0.40971429E+03   0.6948726012641E-01   0.2868729214642E-03   0.6920038720494E-01
   240   0.41142857E+03   0.6957069684127E-01   0.2857524899405E-03   0.6928494435133E-01
   241   0.41314286E+03   0.6965240181128E-01   0.2846410143575E-03   0.6936776079692E-01
