#
#
#   Plasma Parameters
#    electron and ion temp [keV]:   0.1000D-01   0.1000D-01
#    number density nb   [cm^-3]:   0.2391D+24   0.2391D+24
#    mass array mb         [amu]:   0.5486D-03   0.2518D+01
#    mass array mb         [keV]:   0.5110D+03   0.2346D+07
#    charge array zb            :  -0.1000D+01   0.1000D+01
#
#
#   Projectile Parameters
#    charge      :   0.2000D+01
#    mass   [amu]:   0.4029D+01
#    mass   [keV]:   0.3753D+07
#    energy [keV]:   0.4000D+04
#  ne[cm^-3]    Te[keV]    Ti[keV]        ge       gi          etae         ze/2**1.5
#  0.2391D+24  0.1000D-01  0.1000D-01  0.2996D+01  0.2996D+01  0.1650D+01  0.4427D+00
# ab  =  0.5446E+02  0.2500E+06
# etab=  0.3160E+00  0.3160E+00
#    j    E_p [keV]       dedx_tot [MeV/mu-m]   dedx_i                dedx_e
   244   0.32533333E+04   0.1239503275304E+00   0.5910299124106E-04   0.1238912245392E+00
   245   0.32666667E+04   0.1235781717187E+00   0.5887724523982E-04   0.1235192944734E+00
   246   0.32800000E+04   0.1232085059130E+00   0.5865326190513E-04   0.1231498526511E+00
   247   0.32933333E+04   0.1228411337562E+00   0.5843102047559E-04   0.1227827027357E+00
   248   0.33066667E+04   0.1224762053458E+00   0.5821050051635E-04   0.1224179948453E+00
   249   0.33200000E+04   0.1221135216373E+00   0.5799168191272E-04   0.1220555299554E+00
   250   0.33333333E+04   0.1217532372704E+00   0.5777454486385E-04   0.1216954627255E+00
   251   0.33466667E+04   0.1213951545181E+00   0.5755906987666E-04   0.1213375954482E+00
   252   0.33600000E+04   0.1210394243744E+00   0.5734523775981E-04   0.1209820791366E+00
   253   0.33733333E+04   0.1206858510191E+00   0.5713302961790E-04   0.1206287179895E+00
   254   0.33866667E+04   0.1203345874962E+00   0.5692251646700E-04   0.1202776649797E+00
   255   0.34000000E+04   0.1199854382161E+00   0.5671349755078E-04   0.1199287247186E+00
   256   0.34133333E+04   0.1196385560890E+00   0.5650604775428E-04   0.1195820500413E+00
   257   0.34266667E+04   0.1192939614676E+00   0.5630014930626E-04   0.1192376613183E+00
   258   0.34400000E+04   0.1189515033528E+00   0.5609578470427E-04   0.1188954075681E+00
   259   0.34533333E+04   0.1186110372571E+00   0.5589293670960E-04   0.1185551443204E+00
   260   0.34666667E+04   0.1182725846708E+00   0.5569158834232E-04   0.1182168930824E+00
